Index,TargetID,ProbeID_A,ProbeID_B
517,cg00499822,540678,5090021
518,cg00500400,1050730,2360646
519,cg00501366,1470088,1260181
520,cg00502442,5870189,5960593
521,cg00503458,5420364,460477
522,cg00503840,5910070,4220070
523,cg00504595,2060242,2060138
524,cg00509616,2350437,4210669
525,cg00509670,580669,5310546
526,cg00510787,6660328,5670692
527,cg00510956,4060482,7570452
528,cg00511475,780487,5340487
529,cg00512031,4670470,4200142
530,cg00512279,4590112,5490451
531,cg00512374,7650167,1430630
532,cg00513220,6480296,6840148
533,cg00513467,580451,5310494
534,cg00514407,3130341,3060156
535,cg00514895,70196,6580722
536,cg00515905,6580768,2650438
537,cg00516481,4830689,4640356
538,cg00518911,2350274,4210240
539,cg00518989,3840131,2340653
540,cg00519208,5360246,1660246
541,cg00519627,4010546,2510437
542,cg00520135,4850047,1980370
543,cg00520708,6960692,5050577
544,cg00521434,1660176,5860719
545,cg00521598,6380685,6060592
546,cg00522034,4640681,5870086
547,cg00522316,3450280,4490280
548,cg00524288,6560017,3130706
549,cg00528052,5220630,6370121
550,cg00528967,540440,5090274
551,cg00532335,1740021,4760021
552,cg00532890,4250719,6450189
553,cg00534274,10242,2680541
554,cg00534856,4540338,7320446
555,cg00536175,6940349,7200441
556,cg00537910,4900725,3120372
557,cg00539322,7160661,4670523
558,cg00539716,7650484,5900114
559,cg00539955,3170561,630762
560,cg00540544,7400433,1940390
561,cg00540769,1240161,1780673
562,cg00542846,2600056,150369
563,cg00544557,2230338,940246
564,cg00545573,2900142,730630
565,cg00546491,1850280,5270280
566,cg00546897,2650360,4120360
567,cg00547018,2260201,1030201
568,cg00547789,3130288,6520397
569,cg00547829,6980685,4280402
570,cg00548060,3440201,4480326
571,cg00548268,6380168,6060053
572,cg00550617,4730707,3830014
573,cg00551244,50593,4730221
574,cg00554173,1430551,2100632
575,cg00554250,2600411,150364
576,cg00554682,3940333,3450358
577,cg00554702,870671,3440722
578,cg00556408,4490255,3890739
579,cg00557354,7650735,1430619
580,cg00559473,7650521,1430497
581,cg00560119,940079,4850474
582,cg00563229,4290059,60719
583,cg00563845,3440598,4480598
584,cg00563926,5820762,4150484
585,cg00563932,4670091,4200553
586,cg00564163,2970554,6020554
587,cg00565075,6040669,3060307
588,cg00565688,990246,6660095
589,cg00566759,2450328,3360600
590,cg00567479,4590632,5490397
591,cg00567749,520632,4830164
592,cg00568128,6760433,4290433
593,cg00568792,3990463,3170168
594,cg00569620,7200541,2900168
595,cg00571634,3830619,360390
596,cg00572797,1190239,1710477
597,cg00573606,7560440,1450438
598,cg00575744,520180,4830136
599,cg00576250,6200438,4390438
600,cg00577167,270753,840035
601,cg00577464,610494,240494
602,cg00578575,630102,2630102
603,cg00579393,1010594,6280673
604,cg00579402,1770593,650189
605,cg00581156,4010369,2510408
606,cg00582372,1170196,2810458
607,cg00582628,2360477,7550364
608,cg00584022,7650678,5900601
609,cg00585790,10435,2680356
610,cg00585846,1690653,520273
611,cg00586909,3170491,630162
612,cg00587613,5910639,4220639
613,cg00592315,2060435,6560392
614,cg00594118,3170243,630717
615,cg00594952,5260500,6860315
616,cg00596686,6650274,2750274
617,cg00597076,4880253,3460193
618,cg00598858,460348,6650348
619,cg00600110,2900343,730343
620,cg00600684,5890095,6400500
621,cg00601486,5310730,6040358
622,cg00602891,5870110,5960754
623,cg00603172,7400402,5080424
624,cg00605270,4780703,5080386
625,cg00609097,2370692,4900358
626,cg00611397,1190477,1710347
627,cg00612467,3450315,3450195
628,cg00613255,7040240,6620725
629,cg00613344,6290671,7100398
630,cg00614413,3440446,4480338
631,cg00615241,3130440,6520240
632,cg00615377,2650735,4120735
633,cg00615915,2320176,2320487
634,cg00616129,4060274,7570349
635,cg00616135,2940546,2940437
636,cg00616369,1690246,520327
637,cg00617305,3930474,4900239
638,cg00618396,6220209,1990176
639,cg00619207,430180,160180
640,cg00620024,2900717,730333
641,cg00620223,3780168,1850309
642,cg00620629,2360605,7550719
643,cg00620857,6270161,3290673
644,cg00622552,650273,2760673
645,cg00622677,2630333,20673
646,cg00623593,5360328,1660577
647,cg00625425,1240553,1780674
648,cg00625653,10097,2680608
649,cg00626119,110601,1580619
650,cg00626466,1510025,7050228
651,cg00627233,5390021,6200678
652,cg00627286,2450603,7330064
653,cg00629217,1430632,2100528
654,cg00629585,5860523,130014
655,cg00630164,6220152,1990026
656,cg00630249,6480673,7050333
657,cg00630583,1230612,3190692
658,cg00631230,3420326,5130239
659,cg00633969,2120482,3180176
660,cg00634577,5570053,290068
661,cg00635481,5220482,4200242
662,cg00636639,4860280,6270477
663,cg00638514,3420402,5130424
664,cg00642303,1470433,1260349
665,cg00643392,2070273,1500594
666,cg00644033,6330563,4540215
667,cg00645224,6860224,3780750
668,cg00645579,830044,830180
669,cg00645922,830112,5910546
670,cg00646140,4230397,4230091
671,cg00646492,130639,4880338
672,cg00647741,2350577,4210128
673,cg00648153,6420750,5420431
674,cg00648883,2230112,5360112
675,cg00650762,3360541,5220242
676,cg00650876,6660630,5670630
677,cg00651216,2190392,4810414
678,cg00653387,5130300,2000270
679,cg00654814,6220414,1990672
680,cg00654816,7320519,1240551
681,cg00655307,6760487,4290543
682,cg00655779,6130154,1070670
683,cg00657095,1500685,3870184
684,cg00657582,2070520,1500370
685,cg00658007,1030382,1690037
686,cg00658626,2060201,2060326
687,cg00659129,7160259,6180609
688,cg00659953,430372,160372
689,cg00660989,7100019,2190019
690,cg00661202,5260035,6860551
691,cg00661485,3140348,2450148
692,cg00662556,4230100,4230170
693,cg00662775,7000475,4860008
694,cg00665395,6330750,4540164
695,cg00666446,4590022,5490064
696,cg00666746,360475,4040008
697,cg00668685,7330168,4780068
698,cg00669623,110458,3370296
699,cg00669856,2370538,6550538
700,cg00671161,2320132,6550142
701,cg00672638,5390082,6200301
702,cg00673020,6960767,7610020
703,cg00673191,6760128,4290470
704,cg00674922,5910408,4220019
705,cg00676660,7560152,1450397
706,cg00677811,2640743,6110296
707,cg00678539,3370563,1410113
708,cg00679556,3180438,380255
709,cg00679738,60735,4570066
710,cg00682653,1710427,6960682
711,cg00684178,5860288,130670
712,cg00685836,1430465,1430100
713,cg00686022,3180059,3180719
714,cg00686623,4830356,4640373
715,cg00687674,6330180,4540768
716,cg00687686,7050491,6130491
717,cg00688421,6760670,4290132
718,cg00689010,460376,6650376
719,cg00689014,2000685,3610592
720,cg00689340,3290110,6060630
721,cg00690049,130037,4880037
722,cg00690280,610735,610066
723,cg00690893,240446,2120338
724,cg00691625,6250112,5570546
725,cg00691822,6060139,2360523
726,cg00692549,4260577,4070487
727,cg00693307,3180577,380706
728,cg00695416,3890100,50474
729,cg00696900,360242,4040138
730,cg00698688,1570100,3840170
731,cg00702231,1710603,6960139
732,cg00702729,4260209,7610202
733,cg00704310,4830598,4640292
734,cg00704909,2120370,3180021
735,cg00705255,1510504,3400148
736,cg00706536,2650703,4120400
737,cg00707317,6350129,7650082
738,cg00708598,6110730,840246
739,cg00708642,670280,430021
740,cg00711916,60156,60379
741,cg00712898,1820348,3420504
742,cg00714377,6220139,6760543
743,cg00717862,2120053,3180053
744,cg00718440,7550377,1230646
745,cg00718513,3390020,3850184
746,cg00718748,70142,6580577
747,cg00720072,6960474,5050079
748,cg00720137,3190066,270735
749,cg00720723,3290327,2480315
750,cg00722300,3840187,2340129
751,cg00724662,6840026,1510347
752,cg00725143,2510446,2230064
753,cg00725635,3850202,2710202
754,cg00725777,6040037,3060369
755,cg00727590,2510255,2230332
756,cg00727947,6760653,4290653
757,cg00728317,5310035,5310551
758,cg00728398,2190619,3930619
759,cg00728602,2940601,3940626
760,cg00729275,2680092,6940059
761,cg00729541,3840669,2340736
762,cg00729708,5080553,7000041
763,cg00729875,6270291,3290246
764,cg00730260,770017,1190706
765,cg00731459,3940307,3940603
766,cg00733682,1510129,3400082
767,cg00734993,6840719,1510398
768,cg00736326,2100070,2940348
769,cg00737514,6840482,1510176
770,cg00739120,4150414,1940253
771,cg00741717,1300193,2600072
772,cg00743372,2940474,2940072
773,cg00744433,3850519,2710035
774,cg00745543,2650577,4120577
775,cg00745735,3450670,3450132
776,cg00746083,3990082,3990424
777,cg00746130,3420242,4050626
778,cg00746981,6480086,6480435
779,cg00747849,3890487,50259
780,cg00750606,830092,3710014
781,cg00751288,6560767,3130360
782,cg00754253,5420543,460100
783,cg00754617,1240242,160402
784,cg00755043,1740270,4760270
785,cg00755709,6580736,2650603
786,cg00756058,1710327,6960095
787,cg00756887,4060121,7570397
788,cg00757070,4230398,6380398
789,cg00757952,870242,3440138
790,cg00761755,6220672,1990753
791,cg00762512,5080082,7000424
792,cg00763679,1190180,1710044
793,cg00763889,4060259,7570575
794,cg00766729,6130239,3370131
795,cg00766889,1690609,520722
796,cg00767581,4250475,2340328
797,cg00768439,6550086,6220435
798,cg00769470,990730,1470546
799,cg00769520,6420403,5420189
800,cg00770279,2340487,3400504
801,cg00770871,2600349,150494
802,cg00772000,1400639,6180639
803,cg00775197,2750523,2750241
804,cg00777121,6660634,5670634
805,cg00777555,3370324,1410008
806,cg00778920,1190703,1710619
807,cg00779924,6760086,4290435
808,cg00782174,4920059,5890398
809,cg00782854,4220465,870100
810,cg00783759,5420484,460047
811,cg00784357,3890445,4060402
812,cg00791249,4060706,7570674
813,cg00792687,2450113,2370278
814,cg00792740,4260603,7610139
815,cg00792849,4260615,7610687
816,cg00793648,2970192,6020475
817,cg00793774,460441,1260376
818,cg00795268,4490296,6420521
819,cg00795812,4670619,4590463
820,cg00796728,1030356,1690750
821,cg00798206,2120056,3180369
822,cg00799727,3830138,360541
823,cg00800095,3290324,2480475
824,cg00804048,3710703,770475
825,cg00804392,3800519,3800035
826,cg00806490,6940056,7200041
827,cg00807586,1190181,1710707
828,cg00808492,3390064,3850446
829,cg00810473,3180309,380102
830,cg00810495,3190537,270152
831,cg00811081,60600,4570600
832,cg00812502,6290307,7100139
833,cg00814580,7400647,5080471
834,cg00815440,3290035,6220128
835,cg00815583,7040041,6620300
836,cg00815605,730632,5820187
837,cg00816620,2760528,5960128
838,cg00818693,6560563,6560561
839,cg00818872,5820731,4150519
840,cg00819310,990082,6660301
841,cg00819362,2230609,5360598
842,cg00819696,2940768,3940746
843,cg00821764,2480156,2970392
844,cg00822607,2510767,4220161
845,cg00823148,5130273,6220082
846,cg00824109,6480187,6480528
847,cg00825031,6200017,4390017
848,cg00826384,1110091,4010553
849,cg00827369,3890390,50546
850,cg00828602,7040471,6620746
851,cg00830029,4640161,5870594
852,cg00830393,4210273,6770161
853,cg00831028,4730735,3830605
854,cg00832517,990040,6940292
855,cg00832994,5810400,2260646
856,cg00833393,6960372,5050440
857,cg00833777,6900743,2640228
858,cg00834796,4290093,4290753
859,cg00834958,2370524,6550524
860,cg00836605,780564,5340687
861,cg00837103,6370402,1570392
862,cg00838150,840441,4260441
863,cg00839584,3800408,2350014
864,cg00839802,830463,5910053
865,cg00840403,3370075,1410022
866,cg00840516,1940521,780521
867,cg00841581,6400593,5390221
868,cg00842351,2190750,3930224
869,cg00845900,3610735,2570066
870,cg00846036,3310735,3310066
871,cg00848394,1030687,6100040
872,cg00848397,5340196,940059
873,cg00848461,5220241,6370468
874,cg00848728,6290224,7100048
875,cg00849368,150132,6450491
876,cg00850538,6550022,6220451
877,cg00852964,3370368,1410364
878,cg00853068,4010672,2510608
879,cg00854637,5560411,4920280
880,cg00854995,7380100,6480170
881,cg00856375,7570358,7570110
882,cg00858899,2120504,3180504
883,cg00859193,1450056,6330037
884,cg00859655,4880711,4880458
885,cg00861635,6770762,5560762
886,cg00862041,2760494,4230022
