TargetID,Color_Channel,Next_Base
cg00333226,Grn,C
cg00333528,Red,T
cg00334507,Red,A
cg00335286,Red,T
cg00336605,Red,T
cg00338702,Grn,C
cg00338893,Grn,C
cg00340102,Grn,C
cg00342530,Grn,C
cg00343092,Grn,C
cg00344358,Grn,C
cg00344372,Red,T
cg00344709,Grn,C
cg00346145,Grn,C
cg00347729,Red,A
cg00347904,Grn,C
cg00350296,Grn,C
cg00350478,Grn,C
cg00350702,Grn,C
cg00351011,Grn,C
cg00353953,Red,T
cg00354258,Grn,C
cg00354572,Grn,C
cg00355802,Red,T
cg00359325,Grn,C
cg00359973,Red,T
cg00363813,Grn,C
cg00364344,Grn,C
cg00364814,Red,T
cg00365193,Red,T
cg00367281,Red,T
cg00367438,Grn,C
cg00368022,Grn,C
cg00368415,Red,T
cg00371195,Red,A
cg00374717,Grn,C
cg00375964,Grn,C
cg00376639,Red,A
cg00380464,Grn,C
cg00381076,Red,A
cg00382515,Grn,C
cg00382991,Red,A
cg00384537,Red,A
cg00386408,Grn,C
cg00387170,Grn,C
cg00392257,Red,A
cg00393585,Red,T
cg00394658,Grn,C
cg00396163,Red,T
cg00396894,Grn,C
cg00397545,Red,T
cg00397740,Red,T
cg00398048,Red,T
cg00399483,Grn,C
cg00400028,Grn,C
cg00400263,Grn,C
cg00401678,Red,T
cg00402366,Grn,C
cg00403724,Red,T
cg00404599,Grn,C
cg00405070,Grn,C
cg00405568,Grn,C
cg00405677,Red,T
cg00406188,Red,A
cg00406844,Red,T
cg00407150,Grn,C
cg00410419,Grn,C
cg00410576,Grn,C
cg00410831,Grn,C
cg00410895,Red,T
cg00410898,Red,T
cg00410921,Red,A
cg00411097,Grn,C
cg00412772,Red,A
cg00412805,Grn,C
cg00413066,Red,T
cg00415164,Red,T
cg00415494,Grn,C
cg00415978,Red,A
cg00415993,Red,T
cg00417297,Grn,C
cg00418150,Grn,C
cg00419564,Grn,C
cg00420568,Red,T
cg00420715,Grn,C
cg00420929,Grn,C
cg00422913,Grn,C
cg00424946,Grn,C
cg00425710,Grn,C
cg00425792,Grn,C
cg00426056,Grn,C
cg00426498,Red,A
cg00426963,Grn,C
cg00427635,Grn,C
cg00429618,Grn,C
cg00430287,Red,T
cg00430945,Red,T
cg00431050,Grn,C
cg00431114,Red,T
cg00431549,Red,T
cg00432979,Grn,C
cg00433406,Red,T
cg00434413,Red,T
cg00435408,Grn,C
cg00436282,Grn,C
cg00436301,Red,T
cg00436603,Red,T
cg00441136,Grn,C
cg00441382,Grn,C
cg00443307,Red,T
cg00445824,Red,A
cg00446235,Grn,C
cg00447208,Red,T
cg00448720,Red,T
cg00449941,Red,T
cg00451635,Red,T
cg00453193,Red,T
cg00453258,Grn,C
cg00459975,Grn,C
cg00461841,Grn,C
cg00462311,Red,T
cg00462994,Red,T
cg00463202,Grn,C
cg00463577,Grn,C
cg00463848,Red,T
cg00464269,Grn,C
cg00465284,Red,T
cg00465846,Grn,C
cg00466249,Grn,C
cg00466436,Red,A
cg00466492,Grn,C
cg00466544,Grn,C
cg00468146,Grn,C
cg00469635,Red,A
cg00471562,Grn,C
cg00472136,Grn,C
cg00472814,Grn,C
cg00474004,Red,A
cg00474209,Red,A
cg00475955,Grn,C
cg00476577,Red,A
cg00476580,Grn,C
cg00479269,Grn,C
cg00480115,Red,T
cg00480209,Grn,C
cg00480356,Red,T
cg00481227,Grn,C
cg00483154,Red,T
cg00485296,Grn,C
cg00485380,Grn,C
cg00487159,Grn,C
cg00488300,Red,T
cg00488364,Red,A
cg00488718,Grn,C
cg00489401,Grn,C
cg00491404,Grn,C
cg00491839,Grn,C
cg00493400,Grn,C
cg00495415,Red,T
cg00495442,Red,T
cg00495491,Grn,C
cg00496170,Grn,C
cg00497084,Grn,C
cg00497251,Red,T
cg00498305,Red,T
cg00498604,Grn,C
cg00499599,Grn,C
cg00499822,Grn,C
cg00500400,Grn,C
cg00501366,Grn,C
cg00502442,Red,T
cg00503458,Red,T
cg00503840,Grn,C
cg00504595,Red,T
cg00509616,Red,T
cg00509670,Grn,C
cg00510787,Grn,C
cg00510956,Grn,C
cg00511475,Grn,C
cg00512031,Grn,C
cg00512279,Grn,C
cg00512374,Red,A
cg00513220,Grn,C
cg00513467,Grn,C
cg00514407,Red,T
cg00514895,Grn,C
cg00515905,Red,A
cg00516481,Grn,C
cg00518911,Grn,C
cg00518989,Red,T
cg00519208,Red,T
cg00519627,Grn,C
cg00520135,Grn,C
cg00520708,Red,T
cg00521434,Red,T
cg00521598,Red,T
cg00522034,Grn,C
cg00522316,Red,T
cg00524288,Grn,C
cg00528052,Red,A
cg00528967,Grn,C
cg00532335,Red,T
cg00532890,Grn,C
cg00534274,Grn,C
cg00534856,Red,T
cg00536175,Grn,C
cg00537910,Grn,C
cg00539322,Grn,C
cg00539716,Red,A
cg00539955,Red,T
cg00540544,Grn,C
cg00540769,Grn,C
cg00542846,Grn,C
cg00544557,Red,T
cg00545573,Grn,C
cg00546491,Grn,C
cg00546897,Grn,C
cg00547018,Red,A
cg00547789,Grn,C
cg00547829,Grn,C
cg00548060,Red,A
cg00548268,Grn,C
cg00550617,Red,T
cg00551244,Grn,C
cg00554173,Red,T
cg00554250,Grn,C
cg00554682,Grn,C
cg00554702,Red,A
cg00556408,Grn,C
cg00557354,Red,T
cg00559473,Red,A
cg00560119,Grn,C
cg00563229,Red,T
cg00563845,Grn,C
cg00563926,Red,T
cg00563932,Red,T
cg00564163,Grn,C
cg00565075,Grn,C
cg00565688,Grn,C
cg00566759,Grn,C
cg00567479,Red,T
cg00567749,Grn,C
cg00568128,Red,A
cg00568792,Grn,C
cg00569620,Grn,C
cg00571634,Grn,C
cg00572797,Red,T
cg00573606,Red,T
cg00575744,Red,T
cg00576250,Grn,C
cg00577167,Red,T
cg00577464,Red,T
cg00578575,Red,T
cg00579393,Red,T
cg00579402,Grn,C
cg00581156,Grn,C
cg00582372,Grn,C
cg00582628,Red,T
cg00584022,Grn,C
cg00585790,Red,A
cg00585846,Red,A
cg00586909,Red,T
cg00587613,Red,A
cg00592315,Red,A
cg00594118,Grn,C
cg00594952,Red,T
cg00596686,Grn,C
cg00597076,Red,T
cg00598858,Grn,C
cg00600110,Red,A
cg00600684,Grn,C
cg00601486,Grn,C
cg00602891,Grn,C
cg00603172,Red,T
cg00605270,Red,T
cg00609097,Grn,C
cg00611397,Grn,C
cg00612467,Red,A
cg00613255,Red,T
cg00613344,Grn,C
cg00614413,Red,T
cg00615241,Red,T
cg00615377,Grn,C
cg00615915,Red,A
cg00616129,Grn,C
cg00616135,Grn,C
cg00616369,Grn,C
cg00617305,Grn,C
cg00618396,Red,T
cg00619207,Grn,C
cg00620024,Grn,C
cg00620223,Red,A
cg00620629,Red,T
cg00620857,Grn,C
cg00622552,Red,T
cg00622677,Grn,C
cg00623593,Grn,C
cg00625425,Red,T
cg00625653,Grn,C
cg00626119,Grn,C
cg00626466,Grn,C
cg00627233,Grn,C
cg00627286,Red,T
cg00629217,Grn,C
cg00629585,Grn,C
cg00630164,Red,A
cg00630249,Grn,C
cg00630583,Grn,C
cg00631230,Red,T
cg00633969,Red,A
cg00634577,Grn,C
cg00635481,Grn,C
cg00636639,Red,T
cg00638514,Grn,C
cg00642303,Grn,C
cg00643392,Grn,C
cg00644033,Grn,C
cg00645224,Grn,C
cg00645579,Grn,C
cg00645922,Grn,C
cg00646140,Grn,C
cg00646492,Red,T
cg00647741,Red,A
cg00648153,Red,T
cg00648883,Red,T
cg00650762,Grn,C
cg00650876,Grn,C
cg00651216,Grn,C
cg00653387,Grn,C
cg00654814,Grn,C
cg00654816,Grn,C
cg00655307,Red,T
cg00655779,Grn,C
cg00657095,Grn,C
cg00657582,Red,T
cg00658007,Red,T
cg00658626,Grn,C
cg00659129,Red,A
cg00659953,Grn,C
cg00660989,Red,T
cg00661202,Red,T
cg00661485,Red,T
cg00662556,Grn,C
cg00662775,Red,T
cg00665395,Grn,C
cg00666446,Grn,C
cg00666746,Red,T
cg00668685,Red,T
cg00669623,Grn,C
cg00669856,Red,T
cg00671161,Grn,C
cg00672638,Grn,C
cg00673020,Grn,C
cg00673191,Red,T
cg00674922,Grn,C
cg00676660,Red,T
cg00677811,Red,T
cg00678539,Red,T
cg00679556,Grn,C
cg00679738,Red,T
cg00682653,Grn,C
cg00684178,Red,A
cg00685836,Red,T
cg00686022,Grn,C
cg00686623,Grn,C
cg00687674,Red,A
cg00687686,Grn,C
cg00688421,Grn,C
cg00689010,Grn,C
cg00689014,Red,T
cg00689340,Red,T
cg00690049,Grn,C
cg00690280,Red,A
cg00690893,Red,T
cg00691625,Red,T
cg00691822,Grn,C
cg00692549,Red,A
cg00693307,Grn,C
cg00695416,Red,T
cg00696900,Red,T
cg00698688,Red,T
cg00702231,Red,T
cg00702729,Grn,C
cg00704310,Grn,C
cg00704909,Grn,C
cg00705255,Red,T
cg00706536,Grn,C
cg00707317,Red,T
cg00708598,Grn,C
cg00708642,Grn,C
cg00711916,Grn,C
cg00712898,Red,A
cg00714377,Red,T
cg00717862,Grn,C
cg00718440,Grn,C
cg00718513,Red,T
cg00718748,Grn,C
cg00720072,Grn,C
cg00720137,Red,T
cg00720723,Grn,C
cg00722300,Red,T
cg00724662,Grn,C
cg00725143,Red,T
cg00725635,Red,T
cg00725777,Red,T
cg00727590,Grn,C
cg00727947,Grn,C
cg00728317,Red,A
cg00728398,Grn,C
cg00728602,Red,T
cg00729275,Red,T
cg00729541,Red,T
cg00729708,Grn,C
cg00729875,Grn,C
cg00730260,Grn,C
cg00731459,Red,T
cg00733682,Grn,C
cg00734993,Red,T
cg00736326,Grn,C
cg00737514,Grn,C
cg00739120,Grn,C
cg00741717,Red,T
cg00743372,Red,T
cg00744433,Grn,C
cg00745543,Red,A
cg00745735,Red,T
cg00746083,Grn,C
cg00746130,Grn,C
cg00746981,Red,A
cg00747849,Red,A
cg00750606,Red,T
cg00751288,Grn,C
cg00754253,Grn,C
cg00754617,Red,T
cg00755043,Grn,C
cg00755709,Grn,C
cg00756058,Grn,C
cg00756887,Grn,C
cg00757070,Red,A
cg00757952,Red,T
cg00761755,Grn,C
cg00762512,Red,T
cg00763679,Red,T
cg00763889,Red,T
cg00766729,Grn,C
cg00766889,Grn,C
cg00767581,Red,A
cg00768439,Grn,C
cg00769470,Red,T
cg00769520,Grn,C
cg00770279,Grn,C
cg00770871,Grn,C
cg00772000,Grn,C
cg00775197,Grn,C
cg00777121,Grn,C
cg00777555,Grn,C
cg00778920,Grn,C
cg00779924,Red,T
cg00782174,Grn,C
cg00782854,Grn,C
cg00783759,Grn,C
cg00784357,Grn,C
cg00791249,Grn,C
cg00792687,Grn,C
cg00792740,Red,A
cg00792849,Grn,C
cg00793648,Red,A
cg00793774,Grn,C
cg00795268,Grn,C
cg00795812,Grn,C
cg00796728,Grn,C
cg00798206,Red,A
cg00799727,Red,A
cg00800095,Grn,C
cg00804048,Red,T
cg00804392,Grn,C
cg00806490,Red,A
cg00807586,Grn,C
cg00808492,Red,A
cg00810473,Red,T
cg00810495,Red,T
cg00811081,Red,T
cg00812502,Grn,C
cg00814580,Red,T
cg00815440,Grn,C
cg00815583,Grn,C
cg00815605,Grn,C
cg00816620,Red,T
cg00818693,Grn,C
cg00818872,Red,A
cg00819310,Grn,C
cg00819362,Grn,C
cg00819696,Grn,C
cg00821764,Red,T
cg00822607,Red,A
cg00823148,Grn,C
cg00824109,Grn,C
cg00825031,Red,T
cg00826384,Grn,C
cg00827369,Red,A
cg00828602,Grn,C
cg00830029,Grn,C
cg00830393,Red,T
cg00831028,Red,T
cg00832517,Grn,C
cg00832994,Grn,C
cg00833393,Red,T
cg00833777,Red,A
cg00834796,Red,T
cg00834958,Grn,C
cg00836605,Grn,C
cg00837103,Grn,C
cg00838150,Red,T
cg00839584,Grn,C
cg00839802,Grn,C
cg00840403,Red,T
cg00840516,Red,T
cg00841581,Grn,C
cg00842351,Red,T
cg00845900,Red,T
cg00846036,Red,T
cg00848394,Red,T
cg00848397,Red,A
cg00848461,Red,T
cg00848728,Red,T
cg00849368,Grn,C
cg00850538,Grn,C
cg00852964,Red,T
cg00853068,Grn,C
cg00854637,Grn,C
cg00854995,Grn,C
cg00856375,Red,T
cg00858899,Grn,C
cg00859193,Red,T
cg00859655,Grn,C
cg00861635,Grn,C
cg00862041,Grn,C
cg00862290,Red,T
cg00862770,Red,T
cg00864867,Grn,C
cg00870662,Grn,C
cg00871453,Red,T
cg00873037,Grn,C
cg00873937,Red,T
cg00874863,Red,T
cg00875272,Red,A
cg00876704,Red,T
cg00877887,Red,T
cg00877964,Grn,C
cg00881086,Grn,C
cg00881370,Red,T
cg00882451,Red,T
cg00882832,Grn,C
cg00884221,Red,T
cg00884529,Grn,C
cg00885506,Red,T
cg00886554,Grn,C
cg00887101,Red,A
cg00887547,Grn,C
cg00887700,Red,T
cg00888007,Grn,C
cg00888479,Grn,C
cg00888561,Grn,C
cg00890257,Red,A
cg00891278,Grn,C
cg00891541,Grn,C
cg00892393,Grn,C
cg00892798,Grn,C
cg00893242,Red,T
cg00893636,Red,T
cg00893987,Grn,C
cg00894577,Red,T
cg00895324,Grn,C
cg00896220,Grn,C
cg00897329,Grn,C
cg00899086,Red,T
cg00899641,Grn,C
cg00899659,Grn,C
cg00901493,Red,T
cg00901652,Red,T
cg00901683,Grn,C
cg00901704,Grn,C
cg00901766,Red,T
cg00902195,Red,T
cg00903242,Grn,C
cg00903375,Grn,C
cg00904483,Red,T
cg00904574,Red,T
cg00905170,Grn,C
cg00906183,Grn,C
cg00908551,Grn,C
cg00910067,Grn,C
cg00910168,Red,T
cg00911351,Grn,C
cg00911873,Red,T
cg00912191,Red,T
cg00912942,Red,A
cg00915206,Grn,C
cg00915289,Grn,C
cg00916199,Red,T
cg00916635,Red,A
cg00917893,Grn,C
cg00918005,Red,A
cg00918794,Grn,C
cg00919857,Grn,C
cg00920960,Grn,C
cg00922727,Red,T
cg00925229,Grn,C
cg00925717,Red,T
cg00929606,Grn,C
cg00929855,Red,A
cg00930078,Red,A
cg00930194,Grn,C
cg00930873,Red,T
cg00931491,Grn,C
cg00932276,Grn,C
cg00933411,Red,T
cg00935364,Red,A
cg00935388,Grn,C
cg00935430,Red,T
cg00936626,Red,T
cg00939965,Grn,C
cg00940278,Grn,C
cg00940891,Grn,C
cg00941229,Grn,C
cg00941549,Grn,C
cg00943245,Grn,C
cg00943909,Grn,C
cg00943950,Red,T
cg00945507,Red,T
cg00945862,Red,T
cg00947019,Grn,C
cg00947275,Grn,C
cg00948500,Grn,C
cg00948524,Red,T
cg00949442,Grn,C
cg00949554,Grn,C
cg00950418,Red,A
cg00950621,Red,T
cg00951770,Grn,C
cg00953256,Red,A
cg00953277,Red,A
cg00954003,Grn,C
cg00954566,Grn,C
cg00955230,Grn,C
cg00955451,Red,T
cg00958517,Red,T
cg00958560,Grn,C
cg00960702,Grn,C
cg00962459,Grn,C
cg00962635,Grn,C
cg00962799,Grn,C
cg00964109,Grn,C
cg00967316,Red,A
cg00968475,Grn,C
cg00968931,Grn,C
cg00969271,Grn,C
cg00969446,Red,T
cg00970325,Red,T
cg00970385,Grn,C
cg00971396,Grn,C
cg00973286,Red,T
cg00973334,Grn,C
cg00973677,Grn,C
cg00974864,Grn,C
cg00976054,Grn,C
cg00977690,Red,A
cg00979348,Grn,C
cg00980978,Red,T
cg00981643,Red,T
cg00983520,Red,T
cg00983899,Grn,C
cg00984602,Red,A
cg00986320,Grn,C
cg00987015,Grn,C
cg00987379,Grn,C
cg00988256,Grn,C
cg00995065,Red,T
cg00995152,Red,T
cg00995327,Red,A
cg00995520,Grn,C
cg00997424,Red,T
cg01000094,Grn,C
cg01001286,Grn,C
cg01003992,Grn,C
cg01007201,Red,T
cg01009664,Grn,C
cg01013324,Red,T
cg01015871,Red,T
cg01015879,Red,T
cg01017147,Red,T
cg01021485,Grn,C
cg01025762,Red,A
cg01025842,Grn,C
cg01026744,Grn,C
cg01027739,Red,T
cg01027805,Grn,C
cg01029592,Grn,C
cg01031251,Grn,C
cg01031400,Grn,C
cg01033160,Grn,C
cg01033938,Grn,C
cg01035238,Grn,C
cg01035422,Red,A
cg01036012,Grn,C
cg01036148,Red,T
cg01036173,Grn,C
cg01036779,Red,T
cg01037108,Grn,C
cg01040062,Red,T
cg01040759,Red,A
cg01040850,Red,T
cg01041367,Grn,C
cg01043330,Grn,C
cg01043831,Red,T
cg01044662,Red,T
cg01044722,Red,T
cg01045423,Red,A
cg01046174,Grn,C
cg01047414,Grn,C
cg01048931,Grn,C
cg01049530,Grn,C
cg01050433,Red,T
cg01053621,Red,T
cg01055695,Grn,C
cg01056155,Grn,C
cg01056568,Grn,C
cg01057962,Red,T
cg01058368,Grn,C
cg01062029,Grn,C
cg01063524,Grn,C
cg01063813,Grn,C
cg01064307,Grn,C
cg01064957,Red,T
cg01065920,Grn,C
cg01069256,Grn,C
cg01071811,Grn,C
cg01072821,Red,T
cg01074640,Red,T
cg01076838,Grn,C
cg01078276,Red,T
cg01078434,Red,T
cg01078689,Grn,C
cg01078871,Grn,C
cg01079126,Red,T
cg01080862,Grn,C
cg01081263,Grn,C
cg01082679,Red,T
cg01086868,Grn,C
cg01086895,Red,T
cg01086978,Grn,C
cg01087382,Grn,C
cg01087710,Grn,C
cg01090445,Grn,C
cg01091448,Grn,C
cg01091565,Grn,C
cg01092036,Red,A
cg01092561,Red,T
cg01095395,Red,A
cg01095482,Red,T
cg01095590,Grn,C
cg01097940,Red,A
cg01100784,Grn,C
cg01100796,Red,T
cg01103730,Grn,C
cg01103836,Grn,C
cg01104423,Red,A
cg01106788,Grn,C
cg01107031,Grn,C
cg01107741,Red,T
cg01108476,Red,T
cg01109219,Red,T
cg01110312,Red,T
cg01110846,Red,T
cg01112452,Grn,C
cg01112778,Red,T
cg01114088,Grn,C
cg01116966,Red,T
cg01117627,Grn,C
cg01119135,Grn,C
cg01120165,Grn,C
cg01120307,Grn,C
cg01120308,Grn,C
cg01120761,Red,T
cg01120898,Grn,C
cg01124420,Red,T
cg01124961,Red,T
cg01125463,Grn,C
cg01126560,Red,A
cg01127428,Grn,C
cg01128603,Grn,C
cg01129459,Grn,C
cg01129847,Grn,C
cg01130192,Red,T
cg01131735,Grn,C
cg01134491,Grn,C
cg01135200,Grn,C
cg01135626,Red,T
cg01136458,Red,T
cg01137065,Grn,C
cg01137198,Grn,C
cg01137532,Red,A
cg01137708,Grn,C
cg01137737,Grn,C
cg01138020,Grn,C
cg01139059,Grn,C
cg01139966,Grn,C
cg01140782,Grn,C
cg01141769,Grn,C
cg01143454,Red,T
cg01144251,Red,T
cg01144286,Red,T
cg01145389,Grn,C
cg01145396,Red,T
cg01146980,Grn,C
cg01148741,Grn,C
cg01150454,Grn,C
cg01151686,Grn,C
cg01151699,Grn,C
cg01152019,Red,T
cg01152499,Grn,C
cg01154193,Grn,C
cg01154537,Red,A
cg01154775,Red,T
cg01155039,Grn,C
cg01160766,Red,T
cg01161216,Grn,C
cg01161597,Red,A
cg01161611,Grn,C
cg01166674,Grn,C
cg01168201,Grn,C
cg01169610,Red,A
cg01169624,Red,A
cg01169726,Red,A
cg01169778,Red,T
cg01171588,Red,T
cg01171858,Red,A
cg01172484,Red,T
cg01172656,Grn,C
cg01172735,Grn,C
cg01172899,Grn,C
cg01172972,Grn,C
cg01173186,Red,A
cg01173291,Grn,C
cg01176271,Grn,C
cg01177524,Grn,C
cg01177956,Red,A
cg01182585,Red,T
cg01182697,Red,T
cg01182873,Grn,C
cg01183669,Grn,C
cg01184449,Grn,C
cg01184522,Red,T
cg01185080,Grn,C
cg01185754,Red,T
cg01186777,Red,A
cg01190915,Red,T
cg01191395,Red,T
cg01192900,Red,A
cg01192952,Red,A
cg01193293,Red,T
cg01194444,Grn,C
cg01195014,Grn,C
cg01195053,Red,T
cg01195127,Red,T
cg01197831,Grn,C
cg01199721,Grn,C
cg01200060,Grn,C
cg01200177,Grn,C
cg01204271,Red,T
cg01204439,Red,A
cg01204985,Grn,C
cg01206472,Grn,C
cg01206970,Red,T
cg01211097,Red,T
cg01214209,Red,T
cg01214321,Grn,C
cg01214847,Red,T
cg01215061,Grn,C
cg01216369,Red,T
cg01220033,Grn,C
cg01221484,Grn,C
cg01221637,Grn,C
cg01222684,Red,T
cg01226811,Grn,C
cg01226883,Red,A
cg01227519,Red,T
cg01227741,Red,T
